epoch,train_loss,val_nmse_db,lr,seconds
0,-15.570277299626806,-15.710851691759135,0.000985470908713026,841.6
1,-15.863303118474771,-15.943107288665008,0.000942728012826605,481.3
2,-16.17581992789095,-16.26809599077118,0.0008742553740855506,479.8
3,-16.487344754242656,-16.527574970491557,0.0007840323733655781,486.6
4,-16.759592412653706,-16.765752294589312,0.0006773024435212678,483.4
5,-16.987500111408234,-16.938204093652594,0.0005602683401276615,485.9
6,-17.137033852155707,-16.998686759917664,0.00043973165987233864,483.4
7,-17.253033889289405,-17.065742624036517,0.00032269755647873233,486.0
8,-17.344302669947375,-17.097628619231003,0.00021596762663442218,476.4
9,-17.438104223517286,-17.155899590815423,0.00012574462591444943,481.7
