epoch,train_loss,val_nmse_db,lr,seconds
0,-4.707233726175775,-5.171235191934686,0.000985470908713026,1432.0
1,-5.389281411658745,-5.4288609239291405,0.000942728012826605,785.8
2,-5.5903501329071394,-5.556851946364294,0.0008742553740855506,817.9
3,-5.8222295825966945,-5.880456328243677,0.0007840323733655781,807.1
4,-6.125261422579079,-6.157064135506127,0.0006773024435212678,813.6
5,-6.403915670268976,-6.408713289668694,0.0005602683401276615,771.8
6,-6.6504436488755045,-6.55670476648511,0.00043973165987233864,807.7
7,-6.816713436195675,-6.622646439302428,0.00032269755647873233,735.1
8,-6.9482572811566845,-6.6603504835536835,0.00021596762663442218,756.3
9,-7.059771538135219,-6.679738647866078,0.00012574462591444943,725.2
10,-7.150991609113294,-6.674526790423712,5.727198717339522e-05,754.4
